'G01'	[2025,3,17,8,0,0]	0.000177904497832100	1.95541360881200e-11	0	78	-79.0312500000000	4.28482133715000e-09	2.45678762951200	-4.12203371524800e-06	0.000403866288252200	9.25175845623000e-06	5153.73826980600	115200	2.98023223877000e-08	3.12277116651400	-2.42143869400000e-08	0.959994189942800	198.187500000000	-0.0863925276926900	-7.98926135623200e-09	-1.45720355552000e-10	1	2358	0	2	0	-9.31322574615500e-09	78	109152	4
'G02'	[2025,3,17,8,0,0]	-0.000217789318412500	9.54969436861600e-12	0	39	-86.7187500000000	4.11409994020500e-09	-2.48433748271900	-4.18722629547100e-06	0.0161667978391100	8.11927020549800e-06	5152.87539863600	115200	1.06170773506200e-07	2.95855747835400	2.53319740295400e-07	0.966339118737400	220.937500000000	-1.01591605924500	-7.75710882900500e-09	-2.27152318948700e-10	1	2358	0	2	0	-1.76951289176900e-08	39	109152	4
'G03'	[2025,3,17,7,59,44]	0.000676680821925400	4.09272615797800e-12	0	157	23.3750000000000	3.91373445132100e-09	0.257057348110400	1.03749334812200e-06	0.00585170532576700	9.56282019615200e-06	5153.56031799300	115184	-9.31322574615500e-09	-2.18466744487700	4.84287738800000e-08	0.988594488551400	213.062500000000	1.12897381504500	-7.77103798063800e-09	4.93234830924800e-10	1	2358	0	2	0	1.39698386192300e-09	157	109152	4
'G06'	[2025,3,17,8,0,0]	-0.000250533688813400	-2.29647412197700e-11	0	65	-71.9375000000000	3.57764902344200e-09	1.44004935325300	-3.68990004062700e-06	0.00350827327929400	9.08784568309800e-06	5153.53658866900	115200	8.56816768646200e-08	3.06344486594100	1.67638063430800e-08	0.989323390410300	217.593750000000	-0.665560806341900	-7.62031741680800e-09	-1.60720980388200e-10	1	2358	0	2	0	3.72529029846200e-09	65	109752	4
'G07'	[2025,3,17,6,0,0]	-1.65333040058600e-05	-1.47792889038100e-12	0	22	-23.8125000000000	4.81055752188700e-09	-0.371610520715500	-1.19023025035900e-06	0.0193474558182100	9.86270606517800e-06	5153.74078941300	108000	-1.37835741043100e-07	-0.0976136623437100	2.17929482460000e-07	0.950928599250200	185.312500000000	-2.06688346011800	-8.47106713966300e-09	-4.68948104999500e-10	1	2358	0	2	0	-1.07102096080800e-08	22	102648	4
'G08'	[2025,3,17,6,0,0]	0.000496571417897900	5.45696821063800e-12	0	24	11.9375000000000	5.04485299552000e-09	2.36837981366900	5.40167093277000e-07	0.0105630172183700	2.49408185482000e-06	5153.76173591600	108000	-1.82539224624600e-07	1.95712264183100	-3.72529029846200e-08	0.948315833412300	326.500000000000	0.438910434335600	-8.51071164815800e-09	1.42863093678400e-12	1	2358	0	2	0	4.65661287307700e-09	24	102648	4
'G14'	[2025,3,17,8,0,0]	0.000615643803030300	6.25277607468900e-12	0	97	83.1875000000000	4.84341603343300e-09	-0.157692980979900	4.16114926338200e-06	0.00546033948194200	8.23289155960100e-06	5153.71585655200	115200	6.33299350738500e-08	0.969298907761600	4.84287738800000e-08	0.944004733792000	211.593750000000	-2.84823334736900	-8.32284667997100e-09	1.00004165574900e-10	1	2358	0	2	0	-7.91624188423200e-09	353	109152	4
'G17'	[2025,3,17,8,0,0]	0.000374746508896400	-1.90993887372300e-11	0	54	-5.96875000000000	4.58447667614100e-09	-2.80730235804000	-2.08616256713900e-07	0.0131170389941000	2.38232314586600e-06	5153.64527511600	115200	1.32247805595400e-07	2.05639671912000	9.12696123123200e-08	0.964142791548700	336.187500000000	-1.22442393419400	-8.10105172703600e-09	-9.39324840935700e-11	1	2358	0	2	0	-1.11758708953900e-08	54	109152	4
'G19'	[2025,3,17,8,0,0]	0.000609046313911700	4.09272615797800e-12	0	20	-18.3437500000000	4.61554939901600e-09	-0.933276922912800	-9.23871994018600e-07	0.0102454652078400	2.97836959362000e-06	5153.61521339400	115200	-1.06170773506200e-07	2.10056512714000	-2.10478901863100e-07	0.963382093165400	325.968750000000	2.72647734838300	-8.36641992354300e-09	-2.25009372543500e-11	1	2358	0	2	0	-1.53668224811600e-08	20	109218	4
'G21'	[2025,3,17,6,0,0]	9.78177413344400e-05	-2.27373675443200e-12	0	8	-83.2500000000000	4.32660879205100e-09	2.40062678230100	-4.18163836002300e-06	0.0257414923980800	8.25524330139200e-06	5152.80885887100	108000	4.28408384323100e-08	2.94968758660200	4.63798642158500e-07	0.960554838667500	217.812500000000	-0.417329737470100	-7.85282710176900e-09	-4.03588239641600e-10	1	2358	0	2	63	-1.02445483207700e-08	8	102648	4
'G22'	[2025,3,17,8,0,0]	-0.000100283883512000	-1.02318153949500e-12	0	53	92.1875000000000	4.34482383649500e-09	-2.30237512382800	4.77954745292700e-06	0.0132515482837300	7.93673098087300e-06	5153.67078971900	115200	5.02914190292400e-08	1.03919425017700	2.55182385444600e-07	0.959309273641800	226.750000000000	-1.06486091234800	-7.87532803902400e-09	1.30362572981600e-10	1	2358	0	2	0	-1.11758708953900e-08	53	109152	4
'G30'	[2025,3,17,8,0,0]	-0.000192543957382400	9.09494701772900e-12	0	86	-33.2500000000000	5.12949937852400e-09	0.487952632934300	-1.51991844177200e-06	0.00751819007564300	9.64477658271800e-06	5153.72027778600	115200	-6.14672899246200e-08	-0.101453147896500	5.96046447753900e-08	0.936104717227500	178.750000000000	-2.41046361609100	-8.38106339064500e-09	-4.99306512406100e-10	1	2358	0	2	0	3.72529029846200e-09	86	109368	4
