'G01'	[2025;3;17;6;42;2]	'22740732.879 6'	'119503359.28806'	'22740734.141 4'	'93119517.11404'	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
'G19'	[2025;3;17;6;42;4]	'22268411.073 6'	'117021306.26006'	'22268410.729 5'	'91185428.61305'	[]	[]	'G19'	[2025;3;17;6;42;3]	[22268750.8390000,7]	117023092.040070	[22268750.6210000,5]	91186820.1100500	[]	[]
'G22'	[2025;3;17;6;42;4]	'20980459.247 7'	'110253050.79307'	'20980457.246 5'	'85911464.17705'	[]	[]	'G22'	[2025;3;17;6;42;3]	[20980638.2650000,7]	110253991.991070	[20980636.4290000,5]	85912197.5600500	[]	[]
'G30'	[2025;3;17;6;42;4]	'23962968.552 5'	'125926130.76905'	'23962992.503 4'	'98124438.75304'	'23962992.489 6'	'98124447.70116'	'G30'	[2025;3;17;6;42;3]	[23962392.0090000,5]	125923103.240050	[23962416.3920000,4]	98122079.6700400	[]	[]
'G01'	[2025;3;17;6;42;5]	'22742543.928 6'	'119512873.82106'	'22742544.518 4'	'93126931.06404'	'22742543.946 7'	'93126912.07017'	'G01'	[2025;3;17;6;42;4]	[22741940.1880000,6]	119509702.025060	[22741940.9430000,4]	93124459.5260400	[]	[]
'G02'	[2025;3;17;6;42;5]	'25018768.348 6'	'131474498.22406'	'25018770.873 3'	'102447692.86103'	[]	[]	'G02'	[2025;3;17;6;42;4]	[25018173.3140000,6]	131471372.446060	[25018176.2010000,3]	102445257.180030	[]	[]
'G03'	[2025;3;17;6;42;5]	'21102864.010 7'	'110896329.81007'	'21102865.893 7'	'86412724.33207'	[]	[]	'G03'	[2025;3;17;6;42;4]	[21102719.0350000,7]	110895567.799070	[21102720.9140000,7]	86412130.5470700	[]	[]
'G06'	[2025;3;17;6;42;5]	'22797183.499 6'	'119800046.36906'	'22797191.422 6'	'93350695.38506'	[]	[]	'G06'	[2025;3;17;6;42;4]	[22797561.4080000,6]	119802031.606060	[22797569.2430000,6]	93352242.3020600	[]	[]
'G14'	[2025;3;17;6;42;5]	'19973393.322 7'	'104960908.42707'	'19973392.830 6'	'81787713.07206'	'19973392.061 8'	'81787697.07508'	'G14'	[2025;3;17;6;42;4]	[19973291.3040000,7]	104960372.623070	[19973290.9080000,6]	81787295.5540600	[19973289.8750000,8]	81787279.5930800
'G17'	[2025;3;17;6;42;5]	'21274568.635 7'	'111798644.82707'	'21274566.610 7'	'87115803.97407'	[]	[]	'G17'	[2025;3;17;6;42;4]	[21274658.0760000,7]	111799114.693070	[21274656.0600000,7]	87116170.0900700	[]	[]
'G19'	[2025;3;17;6;42;5]	'22268071.305 6'	'117019520.70506'	'22268070.885 5'	'91184037.28605'	[]	[]	'G19'	[2025;3;17;6;42;4]	[22268411.0730000,6]	117021306.260060	[22268410.7290000,5]	91185428.6130500	[]	[]
'G22'	[2025;3;17;6;42;5]	'20980280.439 7'	'110252110.26007'	'20980278.225 5'	'85910731.30405'	[]	[]	'G22'	[2025;3;17;6;42;4]	[20980459.2470000,7]	110253050.793070	[20980457.2460000,5]	85911464.1770500	[]	[]
'G30'	[2025;3;17;6;42;5]	'23963544.610 5'	'125929158.44805'	'23963568.676 4'	'98126797.95604'	'23963568.890 6'	'98126806.87006'	'G30'	[2025;3;17;6;42;4]	[23962968.5520000,5]	125926130.769050	[23962992.5030000,4]	98124438.7530400	[23962992.4890000,6]	98124447.7011600
'G01'	[2025;3;17;6;42;6]	'22743147.457 6'	'119516045.77306'	'22743148.116 4'	'93129402.70904'	'22743147.794 7'	'93129383.71607'	'G01'	[2025;3;17;6;42;5]	[22742543.9280000,6]	119512873.821060	[22742544.5180000,4]	93126931.0640400	[22742543.9460000,7]	93126912.0701700
'G02'	[2025;3;17;6;42;6]	'25019363.055 6'	'131477623.98006'	'25019365.666 3'	'102450128.51103'	[]	[]	'G02'	[2025;3;17;6;42;5]	[25018768.3480000,6]	131474498.224060	[25018770.8730000,3]	102447692.861030	[]	[]
'G03'	[2025;3;17;6;42;6]	'21103009.135 7'	'110897092.59107'	'21103011.015 7'	'86413318.70707'	[]	[]	'G03'	[2025;3;17;6;42;5]	[21102864.0100000,7]	110896329.810070	[21102865.8930000,7]	86412724.3320700	[]	[]
'G06'	[2025;3;17;6;42;6]	'22796805.186 6'	'119798061.52506'	'22796813.695 6'	'93349148.76606'	'22796813.802 7'	'93349136.78417'	'G06'	[2025;3;17;6;42;5]	[22797183.4990000,6]	119800046.369060	[22797191.4220000,6]	93350695.3850600	[]	[]
'G14'	[2025;3;17;6;42;6]	'19973495.311 7'	'104961444.92107'	'19973494.886 6'	'81788131.11906'	'19973494.385 8'	'81788115.11808'	'G14'	[2025;3;17;6;42;5]	[19973393.3220000,7]	104960908.427070	[19973392.8300000,6]	81787713.0720600	[19973392.0610000,8]	81787697.0750800
'G17'	[2025;3;17;6;42;6]	'21274479.218 7'	'111798175.13807'	'21274477.200 7'	'87115437.98707'	[]	[]	'G17'	[2025;3;17;6;42;5]	[21274568.6350000,7]	111798644.827070	[21274566.6100000,7]	87115803.9740700	[]	[]
'G19'	[2025;3;17;6;42;6]	'22267731.502 6'	'117017735.26206'	'22267731.073 5'	'91182646.03805'	[]	[]	'G19'	[2025;3;17;6;42;5]	[22268071.3050000,6]	117019520.705060	[22268070.8850000,5]	91184037.2860500	[]	[]
'G22'	[2025;3;17;6;42;6]	'20980101.553 7'	'110251170.25407'	'20980099.311 5'	'85909998.83605'	[]	[]	'G22'	[2025;3;17;6;42;5]	[20980280.4390000,7]	110252110.260070	[20980278.2250000,5]	85910731.3040500	[]	[]
'G30'	[2025;3;17;6;42;6]	'23964120.856 5'	'125932186.21705'	'23964144.862 4'	'98129157.19904'	'23964145.175 6'	'98129166.11106'	'G30'	[2025;3;17;6;42;5]	[23963544.6100000,5]	125929158.448050	[23963568.6760000,4]	98126797.9560400	[23963568.8900000,6]	98126806.8700600
'G01'	[2025;3;17;6;42;7]	'22743750.983 6'	'119519217.89506'	'22743751.735 4'	'93131874.49204'	'22743751.606 7'	'93131855.48407'	'G01'	[2025;3;17;6;42;6]	[22743147.4570000,6]	119516045.773060	[22743148.1160000,4]	93129402.7090400	[22743147.7940000,7]	93129383.7160700
'G02'	[2025;3;17;6;42;7]	'25019957.587 6'	'131480749.67406'	'25019960.409 3'	'102452564.10603'	[]	[]	'G02'	[2025;3;17;6;42;6]	[25019363.0550000,6]	131477623.980060	[25019365.6660000,3]	102450128.511030	[]	[]
'G03'	[2025;3;17;6;42;7]	'21103154.442 7'	'110897856.15407'	'21103156.302 7'	'86413913.69207'	[]	[]	'G03'	[2025;3;17;6;42;6]	[21103009.1350000,7]	110897092.591070	[21103011.0150000,7]	86413318.7070700	[]	[]
'G06'	[2025;3;17;6;42;7]	'22796427.799 6'	'119796077.09706'	'22796436.040 6'	'93347602.46206'	'22796436.250 7'	'93347590.48207'	'G06'	[2025;3;17;6;42;6]	[22796805.1860000,6]	119798061.525060	[22796813.6950000,6]	93349148.7660600	[22796813.8020000,7]	93349136.7841700
'G14'	[2025;3;17;6;42;7]	'19973597.393 7'	'104961982.12707'	'19973597.094 6'	'81788549.72206'	'19973596.259 8'	'81788533.73108'	'G14'	[2025;3;17;6;42;6]	[19973495.3110000,7]	104961444.921070	[19973494.8860000,6]	81788131.1190600	[19973494.3850000,8]	81788115.1180800
'G17'	[2025;3;17;6;42;7]	'21274389.856 7'	'111797705.61007'	'21274387.821 7'	'87115072.12207'	'21274387.347 7'	'87115050.12517'	'G17'	[2025;3;17;6;42;6]	[21274479.2180000,7]	111798175.138070	[21274477.2000000,7]	87115437.9870700	[]	[]
'G19'	[2025;3;17;6;42;7]	'22267391.707 6'	'117015949.93106'	'22267391.266 5'	'91181254.87605'	[]	[]	'G19'	[2025;3;17;6;42;6]	[22267731.5020000,6]	117017735.262060	[22267731.0730000,5]	91182646.0380500	[]	[]
'G22'	[2025;3;17;6;42;7]	'20979922.635 7'	'110250230.80207'	'20979920.513 5'	'85909266.79705'	[]	[]	'G22'	[2025;3;17;6;42;6]	[20980101.5530000,7]	110251170.254070	[20980099.3110000,5]	85909998.8360500	[]	[]
'G30'	[2025;3;17;6;42;7]	'23964696.745 5'	'125935214.04905'	'23964721.053 4'	'98131516.49904'	'23964721.438 6'	'98131525.39706'	'G30'	[2025;3;17;6;42;6]	[23964120.8560000,5]	125932186.217050	[23964144.8620000,4]	98129157.1990400	[23964145.1750000,6]	98129166.1110600
'G01'	[2025;3;17;6;42;8]	'22744354.354 6'	'119522390.32406'	'22744355.396 4'	'93134346.50404'	'22744355.525 7'	'93134327.50907'	'G01'	[2025;3;17;6;42;7]	[22743750.9830000,6]	119519217.895060	[22743751.7350000,4]	93131874.4920400	[22743751.6060000,7]	93131855.4840700
'G02'	[2025;3;17;6;42;8]	'25020552.270 6'	'131483875.48306'	'25020555.211 3'	'102454999.80703'	[]	[]	'G02'	[2025;3;17;6;42;7]	[25019957.5870000,6]	131480749.674060	[25019960.4090000,3]	102452564.106030	[]	[]
'G03'	[2025;3;17;6;42;8]	'21103299.879 7'	'110898620.63807'	'21103301.764 7'	'86414509.39207'	'21103302.090 7'	'86414484.41117'	'G03'	[2025;3;17;6;42;7]	[21103154.4420000,7]	110897856.154070	[21103156.3020000,7]	86413913.6920700	[]	[]
'G06'	[2025;3;17;6;42;8]	'22796050.137 6'	'119794093.22106'	'22796058.496 6'	'93346056.59406'	'22796058.934 7'	'93346044.62107'	'G06'	[2025;3;17;6;42;7]	[22796427.7990000,6]	119796077.097060	[22796436.0400000,6]	93347602.4620600	[22796436.2500000,7]	93347590.4820700
'G14'	[2025;3;17;6;42;8]	'19973699.656 7'	'104962520.19907'	'19973699.463 6'	'81788968.99406'	'19973698.697 8'	'81788953.01008'	'G14'	[2025;3;17;6;42;7]	[19973597.3930000,7]	104961982.127070	[19973597.0940000,6]	81788549.7220600	[19973596.2590000,8]	81788533.7310800
'G17'	[2025;3;17;6;42;8]	'21274300.490 7'	'111797236.41107'	'21274298.509 7'	'87114706.51107'	'21274298.424 7'	'87114684.52207'	'G17'	[2025;3;17;6;42;7]	[21274389.8560000,7]	111797705.610070	[21274387.8210000,7]	87115072.1220700	[21274387.3470000,7]	87115050.1251700
'G19'	[2025;3;17;6;42;8]	'22267052.008 6'	'117014164.86406'	'22267051.530 5'	'91179863.91505'	[]	[]	'G19'	[2025;3;17;6;42;7]	[22267391.7070000,6]	117015949.931060	[22267391.2660000,5]	91181254.8760500	[]	[]
'G22'	[2025;3;17;6;42;8]	'20979744.022 7'	'110249292.04807'	'20979741.876 5'	'85908535.29805'	[]	[]	'G22'	[2025;3;17;6;42;7]	[20979922.6350000,7]	110250230.802070	[20979920.5130000,5]	85909266.7970500	[]	[]
'G30'	[2025;3;17;6;42;8]	'23965272.840 5'	'125938242.06305'	'23965297.302 4'	'98133875.93804'	'23965297.342 6'	'98133884.91206'	'G30'	[2025;3;17;6;42;7]	[23964696.7450000,5]	125935214.049050	[23964721.0530000,4]	98131516.4990400	[23964721.4380000,6]	98131525.3970600
'G01'	[2025;3;17;6;42;9]	'22744958.000 6'	'119525562.83406'	'22744959.105 4'	'93136818.59104'	'22744958.854 7'	'93136799.59607'	'G01'	[2025;3;17;6;42;8]	[22744354.3540000,6]	119522390.324060	[22744355.3960000,4]	93134346.5040400	[22744355.5250000,7]	93134327.5090700
'G02'	[2025;3;17;6;42;9]	'25021147.011 6'	'131487001.19506'	'25021150.067 3'	'102457435.42403'	[]	[]	'G02'	[2025;3;17;6;42;8]	[25020552.2700000,6]	131483875.483060	[25020555.2110000,3]	102454999.807030	[]	[]
'G03'	[2025;3;17;6;42;9]	'21103445.540 7'	'110899385.81507'	'21103447.369 7'	'86415105.63607'	'21103447.745 7'	'86415080.64007'	'G03'	[2025;3;17;6;42;8]	[21103299.8790000,7]	110898620.638070	[21103301.7640000,7]	86414509.3920700	[21103302.0900000,7]	86414484.4111700
'G06'	[2025;3;17;6;42;9]	'22795672.762 6'	'119792109.67106'	'22795681.024 6'	'93344510.98306'	'22795681.588 7'	'93344499.00207'	'G06'	[2025;3;17;6;42;8]	[22796050.1370000,6]	119794093.221060	[22796058.4960000,6]	93346056.5940600	[22796058.9340000,7]	93346044.6210700
'G14'	[2025;3;17;6;42;9]	'19973801.991 7'	'104963058.88907'	'19973801.966 6'	'81789388.75206'	'19973801.210 8'	'81789372.76908'	'G14'	[2025;3;17;6;42;8]	[19973699.6560000,7]	104962520.199070	[19973699.4630000,6]	81788968.9940600	[19973698.6970000,8]	81788953.0100800
'G17'	[2025;3;17;6;42;9]	'21274211.092 7'	'111796767.29307'	'21274209.229 7'	'87114340.96807'	'21274209.166 7'	'87114318.97307'	'G17'	[2025;3;17;6;42;8]	[21274300.4900000,7]	111797236.411070	[21274298.5090000,7]	87114706.5110700	[21274298.4240000,7]	87114684.5220700
'G19'	[2025;3;17;6;42;9]	'22266712.086 6'	'117012379.82306'	'22266711.803 5'	'91178472.98105'	[]	[]	'G19'	[2025;3;17;6;42;8]	[22267052.0080000,6]	117014164.864060	[22267051.5300000,5]	91179863.9150500	[]	[]
'G22'	[2025;3;17;6;42;9]	'20979565.369 7'	'110248353.74207'	'20979563.324 5'	'85907804.15205'	[]	[]	'G22'	[2025;3;17;6;42;8]	[20979744.0220000,7]	110249292.048070	[20979741.8760000,5]	85908535.2980500	[]	[]
'G30'	[2025;3;17;6;42;9]	'23965848.964 5'	'125941270.11405'	'23965873.569 4'	'98136235.41104'	'23965873.730 6'	'98136244.37806'	'G30'	[2025;3;17;6;42;8]	[23965272.8400000,5]	125938242.063050	[23965297.3020000,4]	98133875.9380400	[23965297.3420000,6]	98133884.9120600
'G01'	[2025;3;17;6;42;10]	'22745561.655 6'	'119528735.41206'	'22745562.814 4'	'93139290.72304'	'22745562.706 7'	'93139271.72807'	'G01'	[2025;3;17;6;42;9]	[22744958,6]	119525562.834060	[22744959.1050000,4]	93136818.5910400	[22744958.8540000,7]	93136799.5960700
'G02'	[2025;3;17;6;42;10]	'25021741.909 6'	'131490126.75106'	'25021744.864 3'	'102459870.92103'	[]	[]	'G02'	[2025;3;17;6;42;9]	[25021147.0110000,6]	131487001.195060	[25021150.0670000,3]	102457435.424030	[]	[]
'G03'	[2025;3;17;6;42;10]	'21103591.216 7'	'110900151.66807'	'21103593.099 7'	'86415702.40507'	'21103593.578 7'	'86415677.40707'	'G03'	[2025;3;17;6;42;9]	[21103445.5400000,7]	110899385.815070	[21103447.3690000,7]	86415105.6360700	[21103447.7450000,7]	86415080.6400700
'G06'	[2025;3;17;6;42;10]	'22795295.419 6'	'119790126.42006'	'22795303.601 6'	'93342965.59806'	'22795303.577 7'	'93342953.63307'	'G06'	[2025;3;17;6;42;9]	[22795672.7620000,6]	119792109.671060	[22795681.0240000,6]	93344510.9830600	[22795681.5880000,7]	93344499.0020700
'G14'	[2025;3;17;6;42;10]	'19973904.634 7'	'104963598.19607'	'19973904.576 6'	'81789808.99106'	'19973903.859 8'	'81789792.99908'	'G14'	[2025;3;17;6;42;9]	[19973801.9910000,7]	104963058.889070	[19973801.9660000,6]	81789388.7520600	[19973801.2100000,8]	81789372.7690800
'G17'	[2025;3;17;6;42;10]	'21274121.754 7'	'111796298.23407'	'21274119.957 7'	'87113975.47107'	'21274119.890 7'	'87113953.46807'	'G17'	[2025;3;17;6;42;9]	[21274211.0920000,7]	111796767.293070	[21274209.2290000,7]	87114340.9680700	[21274209.1660000,7]	87114318.9730700
'G19'	[2025;3;17;6;42;10]	'22266372.306 6'	'117010594.78706'	'22266372.094 5'	'91177082.05105'	[]	[]	'G19'	[2025;3;17;6;42;9]	[22266712.0860000,6]	117012379.823060	[22266711.8030000,5]	91178472.9810500	[]	[]
'G22'	[2025;3;17;6;42;10]	'20979386.880 7'	'110247415.88307'	'20979384.853 5'	'85907073.35905'	[]	[]	'G22'	[2025;3;17;6;42;9]	[20979565.3690000,7]	110248353.742070	[20979563.3240000,5]	85907804.1520500	[]	[]
'G30'	[2025;3;17;6;42;10]	'23966425.032 5'	'125944298.12405'	'23966449.827 4'	'98138594.85304'	'23966449.802 6'	'98138603.78106'	'G30'	[2025;3;17;6;42;9]	[23965848.9640000,5]	125941270.114050	[23965873.5690000,4]	98136235.4110400	[23965873.7300000,6]	98136244.3780600
'G01'	[2025;3;17;6;42;11]	'22746165.225 6'	'119531908.22506'	'22746166.608 4'	'93141763.04004'	'22746166.459 7'	'93141744.03607'	'G01'	[2025;3;17;6;42;10]	[22745561.6550000,6]	119528735.412060	[22745562.8140000,4]	93139290.7230400	[22745562.7060000,7]	93139271.7280700
'G02'	[2025;3;17;6;42;11]	'25022336.629 6'	'131493252.33506'	'25022339.616 3'	'102462306.42203'	[]	[]	'G02'	[2025;3;17;6;42;10]	[25021741.9090000,6]	131490126.751060	[25021744.8640000,3]	102459870.921030	[]	[]
