timestamp,source,scenario,lat,lon,alt,lat_std,lon_std,mean_cnr,min_cnr,max_cnr,std_cnr,cnr_trend,num_satellites,sat_mean,sat_min,sat_visibility,sat_drop_rate,pdop,hdop,vdop,gdop,dop_ratio,solution_status,baseline_sats,solution_age,fix_continuity,fix_transitions,position_variance,cnr_variance,elevation_violations,multipath,clock_bias,iono_delay,tropo_delay,cycle_slips,residual_mean,residual_std,label,label_name
2026-05-05 08:07:19.200000+00:00,scenario_d_r1,scenario_d,30.359591371666667,119.97033206,6.5316,0.9055,0.766,39.729729729729726,39.729729729729726,39.729729729729726,0.0,0.0,34.0,34.5,34.0,0.68,-1.0,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,2.0500000000000038e-05,0.0,0.7,2.5799319727891205e-05,0.0,0.0,2.22423344,0.0,8.05,7.0512688219922515,0,CLEAN
2026-05-05 08:07:20+00:00,scenario_d_r1,scenario_d,30.359591376666668,119.97033209833333,6.5252,0.9063333333333333,0.767,40.21621621621622,39.729729729729726,41.189189189189186,0.6879957871004246,0.7297297297297248,34.0,34.333333333333336,34.0,0.68,-1.0,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,1.533333333333336e-05,0.47333820306793284,0.7,1.906362007168462e-05,0.0,0.0,2.22430768,0.0,6.3870000000000005,5.758203105136185,0,CLEAN
2026-05-05 08:07:21+00:00,scenario_d_r1,scenario_d,30.359591386666665,119.97033217,6.5266,0.9039999999999999,0.76375,40.33783783783784,39.729729729729726,41.189189189189186,0.6319644838426989,0.43783783783783736,34.0,34.25,34.0,0.68,-0.5,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,7.425000000000014e-05,0.3993791088385688,0.7,9.203517587939714e-05,0.0,0.0,2.22429144,0.0,5.549250000000001,4.991182450081343,0,CLEAN
2026-05-05 08:07:22+00:00,scenario_d_r1,scenario_d,30.359591401666666,119.97033226333333,6.5268,0.9053999999999999,0.7656000000000001,40.322901849217644,39.729729729729726,41.189189189189186,0.5660350007685973,0.20398293029871806,35.0,34.4,34.0,0.7,-0.3333333333333333,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,8.260000000000014e-05,0.3203956220951059,0.75,0.0001024231841111936,0.0,0.0,2.22428912,0.0,7.022200000000001,5.434320123069674,0,CLEAN
2026-05-05 08:07:23+00:00,scenario_d_r1,scenario_d,30.35959149,119.97033231166667,6.5198,0.9043333333333332,0.7641666666666667,40.339260312944525,39.729729729729726,41.189189189189186,0.5180099887294072,0.13058321479374116,35.0,34.5,34.0,0.7,-0.25,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,8.52333333333335e-05,0.26833434842344056,0.75,0.00010564563240886056,0.0,0.0,2.22437032,0.0,7.996666666666667,5.415069700998009,0,CLEAN
2026-05-05 08:07:24+00:00,scenario_d_r1,scenario_d,30.359591576666666,119.97033235666666,6.531,0.9064285714285713,0.7654285714285713,40.28327575695997,39.729729729729726,41.189189189189186,0.4988050652609314,0.03962609225767106,34.0,34.42857142857143,34.0,0.68,-0.4,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,0.0001129047619047621,0.248806493129962,0.7,0.00014013850634435421,0.0,0.0,2.2242404,0.0,7.279714285714286,5.294710716500815,0,CLEAN
2026-05-05 08:07:25+00:00,scenario_d_r1,scenario_d,30.359591651666666,119.970332415,6.5275,0.905125,0.7638750000000001,40.19381223328592,39.567567567567565,41.189189189189186,0.5231937843342158,-0.03322495427758837,35.0,34.5,34.0,0.7,-0.3333333333333333,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00012967857142857166,0.27373173596595796,0.75,0.000161316586090309,0.0,0.0,2.224281,0.0,6.767125,5.111857991474333,0,CLEAN
2026-05-05 08:07:26+00:00,scenario_d_r1,scenario_d,30.35959176,119.97033246166667,6.5324,0.9052222222222223,0.7641111111111112,40.25035561877667,39.567567567567565,41.189189189189186,0.5185502233906135,0.010668563300145616,35.0,34.55555555555556,34.0,0.7,-0.2857142857142857,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00011405555555555576,0.2688943341784552,0.75,0.00014168266814312217,0.0,0.0,2.22422416,0.0,6.365777777777778,4.930965619880597,0,CLEAN
2026-05-05 08:07:27+00:00,scenario_d_r1,scenario_d,30.359591835,119.97033246833334,6.537,0.9038,0.7625000000000001,40.31180654338549,39.567567567567565,41.189189189189186,0.5253483091988771,0.041277641277641934,35.0,34.6,34.0,0.7,-0.25,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00014756666666666693,0.27599084597811896,0.75,0.0001830315722862093,0.0,0.0,2.2241708,0.0,6.0479,4.756393835903648,0,CLEAN
2026-05-05 08:07:28+00:00,scenario_d_r1,scenario_d,30.35959196,119.97033242166667,6.5428,0.902909090909091,0.7615454545454546,40.3768265873529,39.567567567567565,41.189189189189186,0.541458059545021,0.06346825294193861,35.0,34.63636363636363,34.0,0.7,-0.2222222222222222,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00015156363636363663,0.2931768302462595,0.75,0.0001876864146761727,0.0,0.0,2.22410352,0.0,5.794545454545455,4.589883209050887,0,CLEAN
2026-05-05 08:07:29+00:00,scenario_d_r1,scenario_d,30.359592091666666,119.97033247166667,6.5564,0.9018333333333334,0.7602500000000001,40.40398293029872,39.567567567567565,41.189189189189186,0.5261725613426045,0.061355429776483374,35.0,34.666666666666664,34.0,0.7,-0.2,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00017181060606060637,0.2768575643098369,0.75,0.00021261592744086446,0.0,0.0,2.22394576,0.0,5.584416666666667,4.436405392951151,0,CLEAN
2026-05-05 08:07:30+00:00,scenario_d_r1,scenario_d,30.35959219,119.970332535,6.5859,0.9013846153846156,0.7595384615384616,40.40201334938177,39.567567567567565,41.189189189189186,0.5055762846312676,0.047363731574260166,34.0,34.61538461538461,34.0,0.68,-0.2727272727272727,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,0.000166692307692308,0.2556073795815565,0.7,0.0002062920803609639,0.0,0.0,2.22360356,0.0,5.388076923076923,4.306122684843417,0,CLEAN
2026-05-05 08:07:31+00:00,scenario_d_r1,scenario_d,30.359592241666668,119.97033261333333,6.5981,0.9006428571428573,0.758357142857143,40.400325137167236,39.567567567567565,41.189189189189186,0.4872235220078172,0.03721570037359291,34.0,34.57142857142857,34.0,0.68,-0.25,0.9,0.5,0.7,1.0295630140987,0.7142857142857143,0.8,34.0,0.0,1.0,0.0,0.00018110989010989043,0.23738676039770193,0.7,0.00022414409970091315,0.0,0.0,2.22346204,0.0,5.220071428571429,4.184673637936889,0,CLEAN
2026-05-05 08:07:32+00:00,scenario_d_r1,scenario_d,30.359592353333333,119.97033269333333,6.6265,0.9000000000000001,0.7576,40.409672830725455,39.567567567567565,41.189189189189186,0.4720003046812639,0.0337431416378793,35.0,34.6,34.0,0.7,-0.23076923076923078,0.8,0.5,0.7,0.9433981132056605,0.7142857142857143,0.8,35.0,0.0,1.0,0.0,0.00018297142857142887,0.22278428761920596,0.75,0.0002263955827332345,0.0,0.0,2.2231326,0.0,5.083,4.067247366814213,0,CLEAN
